,SearchNames,Author,NoPapers
319,AU=SEKERCI ALI,SEKERCI ALI,2
320,AU=SALLI ALI,SALLI ALI,32
321,AU=KIVRAK ALI,KIVRAK ALI,52
322,AU=TEKIN ALI,TEKIN ALI,69
323,AU=SEYYAR ALI,SEYYAR ALI,0
324,AU=SICAK ALI,SICAK ALI,0
325,AU=GUMUS ALI,GUMUS ALI,0
326,AU=TURKAN ALI,TURKAN ALI,8
327,AU=UZER ALI,UZER ALI,13
328,AU=YALCIN ALI,YALCIN ALI,38
329,AU=YAVUZ ALI,YAVUZ ALI,19
330,AU=YILDIRIM ALI,YILDIRIM ALI,271
331,AU=YILDIZ ALI,YILDIZ ALI,177
332,AU=CALISKAN ALI,CALISKAN ALI,16
333,AU=DENIZ ALI,DENIZ ALI,79
334,AU=CELIK ALI,CELIK ALI,125
335,AU=CELIKSOZ ALI,CELIKSOZ ALI,7
336,AU=CETINKAYA ALI,CETINKAYA ALI,45
337,AU=COLAK ALI,COLAK ALI,3
338,AU=COSKUN ALI,COSKUN ALI,195
339,AU=OZCAN ALI,OZCAN ALI,80
340,AU=OZEL ALI,OZEL ALI,18
341,AU=YENER ALI,YENER ALI,42
342,AU=BOZKURT ALI,BOZKURT ALI,53
343,AU=KAYTAZ ALI,KAYTAZ ALI,0
344,AU=NESLITURK ALI,NESLITURK ALI,3
345,AU=GUL ALI,GUL ALI,41
346,AU=ISKURT ALI,ISKURT ALI,8
347,AU=SAHIN ALI,SAHIN ALI,110
348,AU=SENOL ALI,SENOL ALI,5
349,AU=KAPTI ALICAN,KAPTI ALICAN,2
350,AU=AYDIN ALIHAN,AYDIN ALIHAN,0
351,AU=ERDEM ALIM,ERDEM ALIM,55
352,AU=GUR ALIM,GUR ALIM,0
353,AU=GUNES ALIME,GUNES ALIME,25
354,AU=KIYAK ALIYE,KIYAK ALIYE,0
355,AU=OZENOGLU ALIYE,OZENOGLU ALIYE,13
356,AU=KAYACIER AMED,KAYACIER AMED,0
357,AU=CAMAS ANIL,CAMAS ANIL,4
358,AU=YONDEN ARZU,YONDEN ARZU,0
359,AU=YALCIN ARZU,YALCIN ARZU,64
360,AU=AKGUL ARIF,AKGUL ARIF,3
361,AU=DANE ARIF,DANE ARIF,2
362,AU=DAGLI ARIF,DAGLI ARIF,0
363,AU=DURAN ARIF,DURAN ARIF,21
364,AU=KARAKAS ARIF,KARAKAS ARIF,8
365,AU=KAYA ARIF,KAYA ARIF,36
366,AU=KECELI ARIF,KECELI ARIF,1
367,AU=AYAN ARIF,AYAN ARIF,26
368,AU=ULU ARIF,ULU ARIF,0
369,AU=IPEK ARIF,IPEK ARIF,27
370,AU=EKINCI ARIFE,EKINCI ARIFE,5
371,AU=CENGIZ ASIM,CENGIZ ASIM,8
372,AU=DANE ASIM,DANE ASIM,7
373,AU=BILICI ASLAN,BILICI ASLAN,35
374,AU=TEKATAS ASLAN,TEKATAS ASLAN,15
375,AU=KAYA ASLI,KAYA ASLI,8
376,AU=AVCI ASLI,AVCI ASLI,2
377,AU=VATANSEVER ASLI,VATANSEVER ASLI,1
378,AU=KARTAL ASLIHAN,KARTAL ASLIHAN,13
